time,data,H_out,ICU_out,M_out,R_out,D_out
12,2020-03-03,1,1,6,0,0
13,2020-03-04,1,1,7,0,0
14,2020-03-05,1,1,7,0,0
15,2020-03-06,2,2,12,0,0
16,2020-03-07,2,2,20,0,0
17,2020-03-08,2,2,22,0,0
18,2020-03-09,4,2,22,0,0
19,2020-03-10,8,2,27,0,0
20,2020-03-11,7,5,32,2,0
21,2020-03-12,8,8,46,2,0
22,2020-03-13,11,10,52,2,1
23,2020-03-14,21,11,71,3,1
24,2020-03-15,25,13,101,3,1
25,2020-03-16,30,15,114,4,1
26,2020-03-17,36,21,135,4,1
27,2020-03-18,54,21,166,4,2
28,2020-03-19,69,21,238,4,2
29,2020-03-20,75,24,285,4,7
30,2020-03-21,92,29,326,5,10
31,2020-03-22,97,35,368,5,16
32,2020-03-23,106,42,408,5,16
33,2020-03-24,105,43,476,5,19
34,2020-03-25,123,44,519,5,19
35,2020-03-26,144,46,580,12,20
36,2020-03-27,149,46,629,39,21
37,2020-03-28,159,44,695,43,28
38,2020-03-29,166,46,685,95,31
39,2020-03-30,173,47,614,184,33
40,2020-03-31,176,43,632,190,37
41,2020-04-01,173,45,646,194,37
42,2020-04-02,171,47,667,205,38
43,2020-04-03,165,48,707,220,39
44,2020-04-04,167,44,716,242,41
45,2020-04-05,159,45,694,298,43
46,2020-04-06,159,46,667,337,44
47,2020-04-07,157,41,648,368,49
48,2020-04-08,155,41,627,416,50
49,2020-04-09,154,38,600,455,51
50,2020-04-10,146,39,567,498,52
51,2020-04-11,137,39,547,534,52
52,2020-04-12,129,39,519,580,52
53,2020-04-13,127,38,460,643,52
54,2020-04-14,127,37,458,646,53
55,2020-04-15,122,37,423,686,54
56,2020-04-16,116,33,387,738,55
57,2020-04-17,111,31,352,786,57
58,2020-04-18,109,32,290,856,57
59,2020-04-19,108,30,298,854,58
60,2020-04-20,113,29,282,867,58
61,2020-04-21,107,22,278,886,60
62,2020-04-22,97,20,254,925,61
63,2020-04-23,100,19,236,946,61
64,2020-04-24,94,19,209,979,62
65,2020-04-25,95,18,184,1006,63
66,2020-04-26,91,17,188,1008,64
67,2020-04-27,90,16,181,1018,65
68,2020-04-28,80,17,178,1039,65
69,2020-04-29,77,16,168,1064,66
70,2020-04-30,68,16,149,1092,67
71,2020-05-01,60,13,131,1121,68
72,2020-05-02,60,13,123,1130,68
73,2020-05-03,58,13,112,1143,68
